FACILITY_NAME,NAICS,ZIP,FIPS,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit
"Allnex USA, Inc. ",325211,06492,,2016,Boiler 1,Oil 6,"120,000",gal/yr,80,MMBtu/hr
"Allnex USA, Inc. ",325211,06492,,2016,Boiler 3,Oil 6,2800000,gal/yr,87,MMBtu/hr
"Frito-Lay, Inc. - Dayville Facility",311919,06241,,2018,Cleaver Brooks Delta 60 Watertube Boiler No.1,Natural gas,,,52.55,MMBtu/hr
"Frito-Lay, Inc. - Dayville Facility",311919,06241,,2018,Cleaver Brooks Delta 60 Watertube Boiler No.2,Natural gas,,,52.55,MMBtu/hr
"Frito-Lay, Inc. - Dayville Facility",311919,06241,,2018,Cleaver Brooks Delta 60 Watertube Boiler No.3,Natural gas,,,52.89,MMBtu/hr
"GBC Metals, LLC",331420,06720,,1973,Boiler 1,Oil 4,,,3.55,MMBtu/hr
"GBC Metals, LLC",331420,06720,,1973,Boiler 3,Oil 4,,,3.55,MMBtu/hr
"GBC Metals, LLC",331420,06720,,1973,Boiler 4,Oil 4,,,6.39,MMBtu/hr
Gilman Brothers Company,326122,06336,,1998,Cleaver Brooks Boilers Model CB100-200,Oil 2,65500,gal/yr,8.369,MMBtu/hr
Kimberly_clark Corporation - New Milford Mill,322121,06776,,2017,EU 3,Natural gas,,,70.2,MMBtu/hr
Hamilton Sundstrand Corporation – A UTC Aerospace Systems Compan,336411,06096,,1966,Cleaver Brooks 760-500 Boiler No. 1 (Building 3 Power House),Natural gas/oil 2,,,21,MMBtu/hr
Hamilton Sundstrand Corporation – A UTC Aerospace Systems Compan,336411,06097,,1966,Cleaver Brooks 760-500 Boiler No. 2,Natural gas/oil 2,,,21,MMBtu/hr
Hamilton Sundstrand Corporation – A UTC Aerospace Systems Compan,336411,06098,,1952,Riley Boiler No. 1 ,Natural gas,,,62,MMBtu/hr
Hamilton Sundstrand Corporation – A UTC Aerospace Systems Compan,336411,06099,,1952,Riley Boiler No. 2,Natural gas,,,62,MMBtu/hr
Hamilton Sundstrand Corporation – A UTC Aerospace Systems Compan,336411,06100,,1952,Riley Boiler No. 3,Natural gas,,,62,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06118,,2012,Union WT-10 Boiler 6,Oil 2,,,167,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06119,,2012,Union WT-VO Boiler 8,Oil 2,,,190,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06120,,2012,Union WT-VO Boiler 9,Oil 2,,,190,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06121,,2006,Rentech Boilers 5,Natual gas and oil 2,,,48.58,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06122,,2006,Rentech Boilers 6,Natural gas and oil 2,,,48.58,MMBtu/hr
"Pratt & Whitney, Division of United Technologies Corporation",336412,06123,,2016,Cleaver Brooks D-68 Boiler,Oil 2 and ULSD,,,47.88,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 1,Oil 5,,,29.3,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 2,Oil 5,,,29.3,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 3,Oil 5,,,29.3,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 9,Oil 5,,,25.1,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 10,Oil 5,,,25.1,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 11,Oil 5,,,29.3,MMBtu/hr
Bath Iron Works Corporation,336611,,23023,2011,Boiler 12,Oil 5,,,25.1,MMBtu/hr
"CPK Manufacturing, LLC (formerly Kenway Corp.)",323122,,23011,,,,,,1.67,MMBtu/hr
Adams: specialty minerals inc,325180,01220,,2014,Boiler #1; Cleaver Brooks Model CB100X-300,Natural gas and #2 fuel oil-fired,,,12.2,MMBtu/hr
The Gillette Company – Andover,325620,01810,,2014,EU1: Cleaver Brooks Boiler # CB 665-700,Fuel oil and natural gas,,,29.291,MMBtu/hr
The Gillette Company – Andover,325620,01810,,2014,EU2: Cleaver Brooks Boiler # CB 665-700,Fuel oil and natural gas,,,29.291,MMBtu/hr
The Gillette Company – Andover,325620,01810,,2014,"EU3: Cleaver Brooks Boiler
 # CB 665-700 ",Fuel oil and natural gas,,,29.291,MMBtu/hr
The Gillette Company,332211,02127,,2016,EU2: Combustion Engineering Boiler Model No. 21VP-14WT,Natural gas,,,142,MMBtu/hr
The Gillette Company,332211,02127,,2016,"EU3: Alstom Power Energy
Boiler Model No. 31VP2180",Natural gas,,,196,MMBtu/hr
"Callaway Golf Ball Operations, Inc",339920,01021,,2013,"Cleaver Brooks Model CBI #700-250- 150, Natural Gas-Fired Boiler",Natural gas,,,10.2,MMBtu/hr
"Callaway Golf Ball Operations, Inc",339920,01021,,2013,Cleaver Brooks Model: CB 700-100 Boiler,Natural gas,,,4.2,MMBtu/hr
"ITW Polymers Adhesives, N.A.",325520,01923,,2016,Cleaver Brooks Boiler (CB-200- 150),Natural gas,,,6.3,MMBtu/hr
"Erving Industries, Inc",322121,01344,,2017,EU 1,Natural gas,,,85,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,P2 Boiler 1(Fire Tube) CLEAVER BROOKS Model No.: CBB655-150,No. 6 fuel oil,,,6.174,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,P2 Boiler 2 (Fire Tube) CLEAVER BROOKS Model No.: CBB621-200,No. 6 fuel oil,,,8.269,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,P2 Boiler 3 (Fire Tube) JOHNSTON Model No.: 535-AHG,No. 6 fuel oil,,,33.222,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,P2 Boiler 4 (Fire Tube) JOHNSTON Model No.: 535-AHG,: No. 6 fuel oil,,,33.222,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DTP Boiler 6 (Fire Tube) CLEAVER BROOKS Model No.: CB-600-200,Natural Gas,,,25.1,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DF Boiler 1 (Fire Tube) JOHNSTON Model No.: 522-250,No. 6 fuel oil,,,10.8,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DF Boiler 2 (Fire Tube) JOHNSTON Model No.: 535-750,No. 6 fuel oil,,,32.3,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DF Boiler 3 (Fire Tube) JOHNSTON Model No.: 530-500,No. 6 fuel oil,,,21.6,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DF Boiler 4 (Fire Tube) JOHNSTON Model No.: 530-600,No. 6 fuel oil,,,25.9,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DTP Boiler 4 (Fire Tube) JOHNSTON Model No.: PFTA200-4,Natural Gas,,,6.695,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DTP Boiler 1 (Fire Tube) CLEAVER BROOKS Model No.: CB428-250,No. 6 fuel oil,,,10.5,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DTP Boiler 2 (Fire Tube) CLEAVER BROOKS Model No.: CB428-300,No. 6 fuel oil,,,12.6,MMBtu/hr
"Duro Textiles, LLC",313312,02724,,2009,DTP Boiler 3 (Fire Tube) JOHNSTON Model No.: PFTA250-4,No. 6 fuel oil,,,9.8,MMBtu/hr
