index,FACILITY_ID,FACILITY_NAME,COUNTY_FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,TIER,CO2_COMBUSTION_EMISSIONS,CH4_COMBUSTION_EMISSIONS,FUEL_QUANTITY,FUEL_QUANTITY_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,INPUT_HEAT_CAPACITY_UNIT_OTHER,FUEL_COM,FUEL_UNIT,ENERGY_COM,ENERGY_UNIT,ENERGY_MMBtu_hr
757,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2010,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.6,0,,,,,,230,mmBtu/hr,,58.92896604,gallons,8.19112628,MMBtu,0.00093506
758,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2010,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.6,0,,,,,,230,mmBtu/hr,,58.92896604,gallons,8.19112628,MMBtu,0.00093506
759,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2013,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.6,0,,,,,,230,mmBtu/hr,,58.92896604,gallons,8.19112628,MMBtu,0.00093506
760,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2013,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.6,0,,,,,,230,mmBtu/hr,,58.92896604,gallons,8.19112628,MMBtu,0.00093506
761,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2014,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0,,,,,,230,mmBtu/hr,,117.8579321,gallons,16.38225256,MMBtu,0.00187012
762,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2014,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0,,,,,,230,mmBtu/hr,,117.8579321,gallons,16.38225256,MMBtu,0.00187012
763,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2011,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.4,0,,,,,,230,mmBtu/hr,,39.28597736,gallons,5.460750853,MMBtu,0.000623373
764,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2011,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.4,0,,,,,,230,mmBtu/hr,,39.28597736,gallons,5.460750853,MMBtu,0.000623373
765,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2012,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.2,0,,,,,,230,mmBtu/hr,,19.64298868,gallons,2.730375427,MMBtu,0.000311687
766,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2012,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.2,0,,,,,,230,mmBtu/hr,,19.64298868,gallons,2.730375427,MMBtu,0.000311687
5538,1002403,Lhoist North America /Clifton Plant,48035,BOSQUE,327410,2013,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),6.1,0,,,172.5,mmBtu/hr,,,,,599.1111548,gallons,83.27645051,MMBtu,0.009506444
5551,1002403,Lhoist North America /Clifton Plant,48035,BOSQUE,327410,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),8.6,0,,,172.5,mmBtu/hr,,,,,844.6485133,gallons,117.4061433,MMBtu,0.013402528
6040,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2013,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,248,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
6041,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2013,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,248,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
6042,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2011,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.3,0,,,248,mmBtu/hr,,,,,29.46448302,gallons,4.09556314,MMBtu,0.00046753
6043,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2011,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.3,0,,,248,mmBtu/hr,,,,,29.46448302,gallons,4.09556314,MMBtu,0.00046753
6044,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2014,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.1,0,,,248,mmBtu/hr,,,,,108.0364377,gallons,15.01706485,MMBtu,0.001714277
6045,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2014,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.1,0,,,248,mmBtu/hr,,,,,108.0364377,gallons,15.01706485,MMBtu,0.001714277
6046,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2010,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.7,0,,,248,mmBtu/hr,,,,,68.75046038,gallons,9.556313993,MMBtu,0.001090903
6047,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2010,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.7,0,,,248,mmBtu/hr,,,,,68.75046038,gallons,9.556313993,MMBtu,0.001090903
6048,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2012,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.5,0,,,248,mmBtu/hr,,,,,49.1074717,gallons,6.825938567,MMBtu,0.000779217
6049,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2012,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.5,0,,,248,mmBtu/hr,,,,,49.1074717,gallons,6.825938567,MMBtu,0.000779217
8400,1003472,Superior Refining Company LLC,55031,DOUGLAS COUNTY,324110,2011,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,,,0.65,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
