index,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,COUNTY,COUNTY_FIPS,NAICS,TIER_2_METHOD_EQUATION,CO2_COMBUSTION_EMISSIONS,TIER2_CH4_COMBUSTION_EMISSIONS,TIER2_EQ_C2A_FUEL_QTY,TIER2_EQ_C2A_FUEL_QTY_UOM,TIER2_EQ_C2A_HHV,TIER2_EQ_C2A_HHV_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,INPUT_HEAT_CAPACITY_UNIT_OTHER,BOILER_RATIO_B,HIGH_HEAT_VALUE_UOM,ANNUAL_HHV,FUEL_COM,FUEL_UNIT,ENERGY_COM,ENERGY_UNIT,ENERGY_MMBtu_hr
42016,1007068,2016,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI BOROUGH,2068,221112,Tier 2 (Equation C-2a),606.6,0.02,61930,gallons/year,,,23,mmBtu/hr,,,,,,mmBtu/gallon,0.133818417,61930,gallons,8287.374574,MMBtu,0.946047326
42017,1007068,2016,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI,2068,221112,Tier 2 (Equation C-2a),606.6,0.02,61930,gallons/year,,,23,mmBtu/hr,,,,,,mmBtu/gallon,0.133818417,61930,gallons,8287.374574,MMBtu,0.946047326
42020,1007068,2017,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI BOROUGH,2068,221112,Tier 2 (Equation C-2a),105.7,0,10565,gallons/year,0.1365265,mmBtu/gallon,25.8,mmBtu/hr,61.4,,,,,,,10565,gallons,1442.402473,MMBtu,0.164657816
42021,1007068,2017,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI,2068,221112,Tier 2 (Equation C-2a),105.7,0,10565,gallons/year,0.1365265,mmBtu/gallon,25.8,mmBtu/hr,61.4,,,,,,,10565,gallons,1442.402473,MMBtu,0.164657816
42022,1007068,2018,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI BOROUGH,2068,221112,Tier 2 (Equation C-2a),58.9,0,5995,gallons/year,0.134068,mmBtu/gallon,25.8,mmBtu/hr,61.4,,,,,,,5995,gallons,803.73766,MMBtu,0.091750874
42023,1007068,2018,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,DENALI,2068,221112,Tier 2 (Equation C-2a),58.9,0,5995,gallons/year,0.134068,mmBtu/gallon,25.8,mmBtu/hr,61.4,,,,,,,5995,gallons,803.73766,MMBtu,0.091750874
295,1003496,2015,ASHLEY Energy LLC,EP-11,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. LOUIS CITY,29510,221330,Tier 2 (Equation C-2a),7.6,0,740,gallons/year,,,,,,99,mmBtu/hr,,,mmBtu/gallon,0.138,740,gallons,102.12,MMBtu,0.011657534
296,1003496,2015,ASHLEY Energy LLC,EP-11,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. LOUIS CITY,29510,221330,Tier 2 (Equation C-2a),7.6,0,740,gallons/year,,,,,,99,mmBtu/hr,,,mmBtu/scf,0.00102,740,gallons,0.7548,MMBtu,8.61644E-05
297,1003496,2015,ASHLEY Energy LLC,EP-11,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SAINT LOUIS CITY,29510,221330,Tier 2 (Equation C-2a),7.6,0,740,gallons/year,,,,,,99,mmBtu/hr,,,mmBtu/gallon,0.138,740,gallons,102.12,MMBtu,0.011657534
298,1003496,2015,ASHLEY Energy LLC,EP-11,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SAINT LOUIS CITY,29510,221330,Tier 2 (Equation C-2a),7.6,0,740,gallons/year,,,,,,99,mmBtu/hr,,,mmBtu/scf,0.00102,740,gallons,0.7548,MMBtu,8.61644E-05
