FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,COUNTY,COUNTY_FIPS,NAICS,FUEL_COM,FUEL_UNIT,ANNUAL_HEAT_INPUT,ANNUAL_HEAT_INPUT_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY_UNIT_OTHER,CH4_COMBUSTION_EMISSIONS,N2O_COMBUSTION_EMISSIONS,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,Energy_consumption_MMBtu,ENERGY_MMBtu_hr
1000183,2018,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,87,mmBtu,,,,0,0,,422,mmBtu/hr,0,0
1000183,2017,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,517,mmBtu,,,,0,0,,555,mmBtu/hr,0,0
1000183,2011,P H Glatfelter Company - Chillicothe Fac,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.01,0,,422,mmBtu/hr,3333.333333,0.380517504
1000183,2016,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0,0.001,,422,mmBtu/hr,0,0
1000183,2012,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.05,0.01,,505,mmBtu/hr,16666.66667,1.902587519
1000183,2010,P H Glatfelter Company - Chillicothe Fac,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.03,0.007,,505,mmBtu/hr,10000,1.141552511
1000183,2010,P H Glatfelter Company - Chillicothe Fac,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0,0,,422,mmBtu/hr,0,0
1000183,2017,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,0,mmBtu,,,,0,0,,422,mmBtu/hr,0,0
1000183,2014,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,14388,mmBtu,,,,0.04,0.009,,505,mmBtu/hr,13333.33333,1.522070015
1000183,2015,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.01,0.003,,422,mmBtu/hr,3333.333333,0.380517504
1000183,2018,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,679,mmBtu,,,,0,0,,555,mmBtu/hr,0,0
1000183,2012,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0,0.001,,422,mmBtu/hr,0,0
1000183,2016,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.06,0.011,,555,mmBtu/hr,20000,2.283105023
1000183,2011,P H Glatfelter Company - Chillicothe Fac,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.03,0.01,,505,mmBtu/hr,10000,1.141552511
1000183,2015,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.06,0.012,,505,mmBtu/hr,20000,2.283105023
1000183,2013,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.01,0.002,,422,mmBtu/hr,3333.333333,0.380517504
1000183,2014,Pixelle Specialty Solutions LLC,B002,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,1512,mmBtu,,,,0,0.001,,422,mmBtu/hr,0,0
1000183,2013,Pixelle Specialty Solutions LLC,B003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,,,,,,,,0.03,0.006,,505,mmBtu/hr,10000,1.141552511
1000229,2017,Domtar Paper Company LLC - Plymouth,No. 2 Hog Fuel Boiler,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,Martin,37117,322110,,,,,,,,0,0,,889,mmBtu/hr,0,0
1000229,2018,Domtar Paper Company LLC - Plymouth,No. 2 Hog Fuel Boiler,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,Martin,37117,322110,,,,,,,,0.02,0.004,,889,mmBtu/hr,6666.666667,0.761035008
1000234,2018,The University of NC Chapel Hill,Boiler 10 ES005,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Orange,37135,611310,,,,,,,,0.01,0.001,,249,mmBtu/hr,3333.333333,0.380517504
1000234,2018,The University of NC Chapel Hill,Boiler 8 ES003,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Orange,37135,611310,,,,,,,,0,0,,338,mmBtu/hr,0,0
