FacilityID,CombustorID_common,Date,Fuel_Number,Fuel,Fuel_Other,Fuel_Rate,Fuel_Rate_Unit,Fuel_Rate_Unit_Other,SourceTab,In Waste Inventory? Opt 4,Test Burning Waste? Opt 4
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/14/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,25,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/14/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,28.1,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/14/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,24,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/15/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,481,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/15/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,28,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/15/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,26.2,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/15/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/16/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,462,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/16/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,26,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/16/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,27,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/16/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/17/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,436,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/17/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,24,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/17/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,27.8,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/17/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,2,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/18/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,433,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/18/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,22,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/18/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,26.5,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/18/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,43,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/19/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,507,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/19/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,27,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/19/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,16.7,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/19/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/20/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,494,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/20/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,27,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/20/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,11.3,mmBtu/hr,,Fuel Feed,,
