,FacilityID,UnitID,Fuel Category for Unit,Op Hours Per Year,Capacity (mmBtu/hr),Fuel,Fuel_Rate (mmBtu/hr),Fuel_Cons_mmBtu
0,ALBoiseWhitePaperJackson,102-0001-Z013,Wet Biomass,8400.0,435.0,Biogas,68163.76666666666,572575640.0
1,ALBoiseWhitePaperJackson,102-0001-Z013,Wet Biomass,8400.0,435.0,Dewatered combustible residues,43.02333333333335,361396.0000000001
2,ALBoiseWhitePaperJackson,102-0001-Z013,Wet Biomass,8400.0,435.0,No. 6 Residual oil,55.60333333333333,467068.0
3,ALBoiseWhitePaperJackson,102-0001-Z013,Wet Biomass,8400.0,435.0,Wood: Bark,817.12,6863808.0
4,ARAnthonyForestProducts,SN-12,Wet Biomass,8592.0,29.56,"Fuel used at AFP Urb is unspecified mix of Unadult timber (chips), Unadult lumber (sawdust, scrap), and Bark.",58.63333333333333,503777.6
5,ARWeyerhaeuserDierksMill,SN-45,Wet Biomass,8400.0,249.0,Hog Fuel,468.7466666666666,3937471.9999999995
6,CTElectric Boat,EMU 17,Light Liquid,790.0,7.0,Natural gas,19.5,15405.0
7,CTElectric Boat,EMU 17,Light Liquid,790.0,7.0,No. 4 Fuel oil,304.6666666666667,240686.6666666667
8,GATempleInlandRome,WF,Wet Biomass,8757.0,856.0,No. 5 Fuel oil,71.05930555566667,622266.338750973
9,GATempleInlandRome,WF,Wet Biomass,8757.0,856.0,Wood: Bark,140644.00355333334,1231619539.1165402
10,IAADMCornProcessingCR,EU-501B,Coal,7900.0,551.5,Coal: Sub-bituminous,568.8833333333333,4494178.333333333
11,IAArchersDanielsMidlandDesMoines,Asea Boiler #1,Coal,7321.0,192.0,Coal: Sub-bituminous,222.7666666666667,1630874.766666667
12,IAMonsantoMuscatine,Boiler #8 (EP-195),Dry Biomass,8520.0,150.0,Coal: Bituminous,106.27958942366666,905502.10188964
13,IAMonsantoMuscatine,Boiler #8 (EP-195),Dry Biomass,8520.0,150.0,Industrial Commercial or Municipal Sludge,4.168111436666666,35512.30944039999
14,IAMonsantoMuscatine,Boiler #8 (EP-195),Dry Biomass,8520.0,150.0,Plant-based Agricultural Residue,15.3674076737,130930.313379924
15,ILAbbottAbbottPark,Unit 5AP,Coal,7500.0,83.0,Coal: Bituminous,59.9,449250.0
16,ILAbbottAbbottPark,Unit 5AP,Coal,7500.0,83.0,Natural gas,0.0,0.0
17,ILAkzoNobelMorris,B-1 Nebraska Boiler,Gas 1,8500.0,41.0,Natural gas,33769.521133999995,287040929.63899994
18,ILAkzoNobelMorris,B-1 Nebraska Boiler,Gas 1,8500.0,41.0,Nitrile Pitch Residue generated in the Nitrile Production Process at AkzoNobel,307.18178273333325,2611045.1532333326
19,ILPolyOne,B1,Coal,8064.0,143.75,Coal: Bituminous,6042.333333333333,48725376.0
20,INTateLyleSagamore,31B1,Coal,8500.0,231.0,Coal: Bituminous,13952.966666666667,118600216.66666667
21,INTateLyleSagamore,31B1,Coal,8500.0,231.0,Corn Starch,581.6666666666666,4944166.666666666
22,INUSSteelGaryWorks,O4B10459,Gas 1,8000.0,500.0,Blast Furnace Gas,332.8333333333333,2662666.6666666665
23,INUSSteelGaryWorks,O4B10459,Gas 1,8000.0,500.0,Natural gas,15.963333333333326,127706.66666666661
24,INUSSteelGaryWorks,O4B10459,Gas 1,8000.0,500.0,No. 6 Residual oil,6.97,55760.0
25,KSCoffeyvilleRefinery,EU-39-FH0027,Coal,8760.0,291.6,Refinery gas,84.9870685105,744486.72015198
26,KYISPChemicals,0AA (Riley),Coal,8000.0,139.0,Ammonia Off-gas from 2-Pyrollidone production unit,83.0,664000.0
27,KYISPChemicals,0AA (Riley),Coal,8000.0,139.0,Coal: Sub-bituminous,95.86666666666666,766933.3333333333
28,KYNewPage-Wickliffe,B09,Wet Biomass,8433.0,631.0,Natural gas,448.96666666666664,3786135.9
29,KYNewPage-Wickliffe,B09,Wet Biomass,8433.0,631.0,Tire Derived Fuel (TDF),6.7299999999999995,56754.09
30,KYNewPage-Wickliffe,B09,Wet Biomass,8433.0,631.0,Wood: Bark,1093.6333333333334,9222609.9
31,LABoiseNewsprintDeRidder,69-03,Wet Biomass,8400.0,1591.3,CDF- Crosstie Derived Fuel,161.41336562783337,1355872.2712738004
32,LABoiseNewsprintDeRidder,69-03,Wet Biomass,8400.0,1591.3,Natural gas,78.39500737517244,658518.0619514484
33,LABoiseNewsprintDeRidder,69-03,Wet Biomass,8400.0,1591.3,Primary Clarifier Sludge,44.532707030166634,374074.7390533997
34,LABoiseNewsprintDeRidder,69-03,Wet Biomass,8400.0,1591.3,Tire Derived Fuel (TDF),46.8878739045,393858.1407978
35,LABoiseNewsprintDeRidder,69-03,Wet Biomass,8400.0,1591.3,Wood: Bark,781.6182415716667,6565593.2292019995
36,MEFPLEnergyWyman,Unit #5,Heavy Liquid,5500.0,72.0,No. 6 Residual oil,2.4500000000000006,13475.000000000004
37,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Biomass,34476.666666666664,275813333.3333333
38,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Coal: Bituminous,6608.333333333333,52866666.666666664
39,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Industrial Commercial or Municipal Sludge,3607.8788333333337,28863030.666666668
40,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,No. 6 Residual oil,1.6666666666666667,13333.333333333334
41,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Noncondensable Gas (includes stripper offgas),2264.617777777778,18116942.222222224
42,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Petroleum Coke,255.0,2040000.0
43,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Pulp mill gas,14.803333333333336,118426.66666666669
44,MENewPage-Rumford,Cogen#6,Dry Biomass,8000.0,630.0,Tire Derived Fuel (TDF),12891.666666666666,103133333.33333333
45,MENewPage-Rumford,Cogen#7,Dry Biomass,8000.0,630.0,Biomass,15940.0,127520000.0
46,MENewPage-Rumford,Cogen#7,Dry Biomass,8000.0,630.0,Coal: Bituminous,5205.0,41640000.0
47,MENewPage-Rumford,Cogen#7,Dry Biomass,8000.0,630.0,Industrial Commercial or Municipal Sludge,1596.5166666666667,12772133.333333334
48,MENewPage-Rumford,Cogen#7,Dry Biomass,8000.0,630.0,No. 6 Residual oil,65.0,520000.0
