FacilityID,UnitID,Unit Count,Classification,Design Capacity (mmBtu/hr),Capacity_Numeric,Size Category,Op Hours Per Year,Limited Use?,Combustor Design (Reconsideration),Low NOx Burners?,Fuel Category for Unit,Total Control,Total Control on Unit,Are total controls same?,HCl Control Group,Hg Control Group,PM Control Group,Metals Control Group,Unit O2%,Temperature,Percent Moisture,Exhaust Flowrate (ACFM),Exhaust Flowrate (DSCFM),NAICS,NAICS Category,Industrial/Commercial,Metals Furnace?,Continental?,Unit Has SCR?,Unit Has Wet Scrubber?,Unit Has Dry Scrubber?,Unit Has Venturi Scrubber?,Coal Type,100% Biomass?,100% NG/RFG?,Liq Unit Can Routinely Burn NG?,From Source,Change Code,Reason for Change,Added Since Final Rule?
CAChevronProductsRichmond,S4333 Combustion Furnace,1,Process Heater,62.7,62.7,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,19394.02731,10566.76977,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4334 Combustion Furnace,1,Process Heater,25.3,25.3,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,7825.660142,4263.784295,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4335 Combustion Furnace,1,Process Heater,24.8,24.8,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,7671.002827,4179.519783,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAValeroRefiningBenicia,S-220 Combustion Furnace,1,Process Heater,351,351,>250,8235,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,108569.4352,59153.68725,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAValeroRefiningBenicia,S-173,1,Process Heater,22,22,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,6804.921862,3707.638517,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAValeroRefiningBenicia,S-50,1,Process Heater,42,42,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,12991.21446,7078.218988,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAValeroRefiningBenicia,S-42,1,Process Heater,14,14,10 to 30,714,Yes,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,4330.404822,2359.406329,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4336 Combustion Furnace,1,Process Heater,25,25,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,7732.865753,4213.225588,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4337 Combustion Furnace,1,Process Heater,30.8,30.8,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,9526.890607,5190.693924,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4338 Combustion Furnace,1,Process Heater,36,36,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,11135.32668,6067.044847,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4339 Combustion Furnace,1,Process Heater,19,19,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,5876.977972,3202.051447,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4349 Combustion Furnace,1,Process Heater,16.5,16.5,10 to 30,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,5103.691397,2780.728888,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4129,1,Boiler,233,233,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,72070.30882,39267.26248,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4131,1,Boiler,236,236,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,72998.25271,39772.84955,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4132,1,Boiler,235,235,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,72688.93808,39604.32053,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4133,1,Boiler,237,237,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,73307.56734,39941.37857,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4135,1,Boiler,272,272,>250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,84133.57939,45839.8944,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4152,1,Process Heater,50.5,50.5,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,15620.38882,8510.715688,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4154,1,Process Heater,50.5,50.5,>30 to <100,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,15620.38882,8510.715688,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4158,1,Process Heater,48,48,>30 to <100,7628.5,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,14847.10225,8089.393129,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4059 Combustion Furnace,1,Process Heater,121,121,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,37427.07024,20392.01185,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4060 Combustion Furnace,1,Process Heater,144,144,100 to 250,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,44541.30674,24268.17939,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
CAChevronProductsRichmond,S4107 Combustion Furnace,1,Process Heater,6.583333333,6.583333333,5 to <10,8760,No,N/A,False,Gas 1,No HAP APCD Control,No data in control device table; assume same as total baseline control.,NO,5,6,6,6,2.500754355,350,16.41557892,2036.321315,1109.482738,324,Refineries,Industrial,no,Continental,No,No,No,No,N/A,N/A,Yes,,CA Title V Permit,A,8/9/10 - Additional combustion units from CA refineries,No
