,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS,Zip,Num_Empl,FIPS
0,CAChevronProductsRichmond,S4129,1,233.0,8760.0,Gas 1,350,324,94802,,06013
1,CAChevronProductsRichmond,S4131,1,236.0,8760.0,Gas 1,350,324,94802,,06013
2,CAChevronProductsRichmond,S4132,1,235.0,8760.0,Gas 1,350,324,94802,,06013
3,CAChevronProductsRichmond,S4133,1,237.0,8760.0,Gas 1,350,324,94802,,06013
4,CAChevronProductsRichmond,S4135,1,272.0,8760.0,Gas 1,350,324,94802,,06013
5,CAChevronProductsRichmond,S4169 Reboiler,1,260.0,8760.0,Gas 1,350,324,94802,,06013
6,OKConocoPhillipsPoncaCity,H-8802,1,135.0,8760.0,Gas 1,350,324,74601,500-999,40103
8,OKConocoPhillipsPoncaCity,B-0008,1,494.0,8250.0,Gas 1,350,324,74601,500-999,40103
10,OKConocoPhillipsPoncaCity,B-0009,1,367.4,8250.0,Gas 1,350,324,74601,500-999,40103
12,OKConocoPhillipsPoncaCity,B-0010,1,367.4,8250.0,Gas 1,350,324,74601,500-999,40103
14,OKConocoPhillipsPoncaCity,H-0048,1,335.0,8360.0,Gas 1,350,324,74601,500-999,40103
16,OKConocoPhillipsPoncaCity,H-8801,1,135.0,8760.0,Gas 1,350,324,74601,500-999,40103
18,OKConocoPhillipsPoncaCity,H-9851,1,315.0,8760.0,Gas 1,350,324,74601,500-999,40103
20,TXBorger,Boiler 2,1,188.0,7884.0,Gas 1,350,325,79008,100-499,48233
21,TXBorger,Boiler 1,1,188.0,7884.0,Gas 1,350,325,79008,100-499,48233
22,LABoiseNewsprintDeRidder,69-03,1,1591.3,8400.0,Wet Biomass,400,322,70634,500-999,22011
24,LABoiseNewsprintDeRidder,79-01,1,454.29,8400.0,Wet Biomass,400,322,70634,500-999,22011
26,LABoiseNewsprintDeRidder,86-01,1,228.0,2200.0,Gas 1,350,322,70634,500-999,22011
28,LABoiseNewsprintDeRidder,86-02,1,228.0,2200.0,Gas 1,350,322,70634,500-999,22011
30,CAValeroRefiningBenicia,S-237,1,315.0,7953.0,Gas 1,350,324,94510,,06095
31,CAValeroRefiningBenicia,S-41,1,218.0,8760.0,Gas 1,350,324,94510,,06095
32,CAValeroRefiningBenicia,S-40,1,218.0,8760.0,Gas 1,350,324,94510,,06095
33,CAValeroBeniciaAsphaltPlant,S-20,1,14.7,8760.0,Gas 1,350,324,94510,,06095
34,CAValeroBeniciaAsphaltPlant,S-21,1,14.7,8760.0,Gas 1,350,324,94510,,06095
35,CAShellMartinezRefinery,S-1514,1,409.0,8760.0,Gas 1,350,324,94553,,06013
36,CAShellMartinezRefinery,S-1800,1,224.0,8760.0,Gas 1,350,324,94553,,06013
37,CAShellMartinezRefinery,S1492 Reboiler,1,104.0,8760.0,Gas 1,350,324,94553,,06013
38,CAShellMartinezRefinery,S1498 Reboiler,1,39.0,8760.0,Gas 1,350,324,94553,,06013
39,CAShellMartinezRefinery,S1504 Reboiler,1,176.0,8760.0,Gas 1,350,324,94553,,06013
40,CAShellMartinezRefinery,S1515 Reboiler,1,110.0,8760.0,Gas 1,350,324,94553,,06013
41,CAShellMartinezRefinery,S4031 Reoiler,1,49.0,8760.0,Gas 1,350,324,94553,,06013
42,CAShellMartinezRefinery,S1493 Reboiler,1,55.0,8760.0,Gas 1,350,324,94553,,06013
43,CAShellMartinezRefinery,S1494 Reboiler,1,46.0,8760.0,Gas 1,350,324,94553,,06013
44,CATesoro,S-904 No. 6 Boiler,1,775.0,8760.0,Gas 1,350,324,94553,500-999,06013
45,CAParamountPetrParamount,D373,1,44.5,8760.0,Gas 1,350,324,90723,,06037
46,CAParamountPetrParamount,D374,1,44.5,8760.0,Gas 1,350,324,90723,,06037
47,CAParamountPetrParamount,D375,1,44.5,8760.0,Gas 1,350,324,90723,,06037
48,CAParamountPetrParamount,D376,1,65.9,8760.0,Gas 1,350,324,90723,,06037
49,CAValeroWilmingtonAsphaltPlant,D63,1,14.65,8760.0,Gas 1,350,324,90744,,06037
50,CAValeroWilmingtonAsphaltPlant,D64,1,14.65,8760.0,Gas 1,350,324,90744,,06037
51,CATesoroWilmington,D1122,1,139.5,8760.0,Gas 1,350,324,90744,,06037
52,CATesoroWilmington,D722,1,183.54,8760.0,Gas 1,350,324,90744,,06037
53,CATesoroWilmington,D723,1,183.54,8760.0,Gas 1,350,324,90744,,06037
54,CATesoroWilmington,D724,1,183.54,8760.0,Gas 1,350,324,90744,,06037
55,CATesoroWilmington,D725,1,183.54,8760.0,Gas 1,350,324,90744,,06037
56,CAConocoPhilipsLosAng,D684 - Boiler 4,1,142.0,8400.0,Gas 1,350,324,90744,100-499,06037
57,CAConocoPhilipsLosAng,D686 - Boiler 7,1,304.0,8400.0,Gas 1,350,324,90744,100-499,06037
58,CAConocoPhilipsLosAng,D687 - Boiler 8,1,179.0,8400.0,Gas 1,350,324,90744,100-499,06037
59,CAConocoPhilipsLosAng,D688 - Boiler 6,1,250.0,8400.0,Gas 1,350,324,90744,100-499,06037
60,TXRGVSG,Boiler No. 6,1,643.0,8760.0,Bagasse,400,311,78593,100-499,48061
61,ALP&WAlabamaRiver,Power Boiler #2,1,190.0,8760.0,Wet Biomass,400,322,36470,,01099
62,ALP&WAlabamaRiver,Power Boiler #1,1,440.0,8760.0,Wet Biomass,400,322,36470,,01099
63,ALP&WAlabamaRiver,Power Boiler #3,1,440.0,8760.0,Wet Biomass,400,322,36470,,01099
64,TXInternationalPaperQueenCity,PB01,1,946.0,1320.0,Gas 1,350,322,75572,500-999,48067
65,CAEdgingtonOilLongBeach,D194,1,35.0,8760.0,Gas 1,350,324,90805,,06037
66,CAEdgingtonOilLongBeach,D196,1,35.0,8760.0,Gas 1,350,324,90805,,06037
67,ALIPCourtland,No. 1 Combination Boiler / 11CU101,1,398.0,1437.0,Wet Biomass,400,322,35618,>1000,01079
68,ALIPCourtland,No. 3 Combination Boier / 11CU301,1,710.0,8291.0,Wet Biomass,400,322,35618,>1000,01079
69,ALIPCourtland,No.2 Combination Boiler / 11CU201,1,735.0,8511.0,Coal,400,322,35618,>1000,01079
70,ALIPCourtland,Package Boiler / 11CU401,1,365.0,4750.0,Gas 1,350,322,35618,>1000,01079
71,ALIPPineHill,109-0001-Z007,1,705.0,8400.0,Wet Biomass,400,322,36769,100-499,01091
73,ALIPPineHill,109-0001-Z010,1,770.0,8400.0,Coal,400,322,36769,100-499,01091
75,ALIPPrattville,Z006,1,707.0,8553.0,Wet Biomass,400,322,36067,500-999,01051
77,ALIPPrattville,Z008,1,630.0,8471.0,Wet Biomass,400,322,36067,500-999,01051
79,ALIPRiverdale,No. 1 Bark Boiler / BK01,1,245.0,8400.0,Wet Biomass,400,322,36703,500-999,01001
81,ALIPRiverdale,No. 1 Power Boiler / PB01,1,300.0,8400.0,Gas 1,350,322,36703,500-999,01001
83,ALKohlerHuntsville,Boiler 3,1,14.28,8760.0,Gas 1,350,326,35824,100-499,01089
84,ALKohlerHuntsville,Small Boilers,6,5.0,8400.0,Gas 1,350,326,35824,100-499,01089
85,ALWestFraserMaplesville,Boiler-1,1,119.0,8708.0,Wet Biomass,400,321,36750,100-499,01021
87,ALWeyerhaeuserMillport,Boiler No. 1,1,115.0,8100.0,Wet Biomass,400,321,35576,50-99,01075
89,ARAerojet,Boiler 1,23,5.0,8400.0,Gas 1,350,332,71701,100-499,05013
91,ARAlbemarleSouth,SN-BH-01,1,340.0,8664.0,Gas 1,350,325,71753,100-499,05139
93,ARAlbemarleSouth,SN-BH-02,1,340.0,8664.0,Gas 1,350,325,71753,100-499,05139
95,ARAlbemarleSouth,Sulfur Plant Boiler (East),1,11.3,8640.0,Gas 1,350,325,71753,100-499,05139
97,ARAlbemarleSouth,Sulfur Plant Boiler (West),1,11.3,360.0,Gas 1,350,325,71753,100-499,05139
99,ARAmericanTubing,IA Boilers,2,5.0,8400.0,Gas 1,350,332,72764,100-499,05143
101,ARAnthonyForestProducts,SN-12,1,29.56,8592.0,Wet Biomass,400,321,71768,100-499,05139
102,ARAnthonyForestProducts,SN-13,1,29.56,8592.0,Wet Biomass,400,321,71768,100-499,05139
103,ARAnthonyForestProducts,SN-16,1,29.75,8592.0,Wet Biomass,400,321,71768,100-499,05139
104,ARBiblerBrosLumber,SN-10A1,1,24.38,8760.0,Gas 1,350,321,72801,100-499,05115
105,ARBiblerBrosLumber,SN-10A2,1,24.38,8760.0,Gas 1,350,321,72801,100-499,05115
106,ARCooperTire,Nebraska #4,1,99.0,8500.0,Gas 1,350,326,71854,>1000,05091
107,ARCooperTire,Union Ryley #1,1,36.0,1440.0,Gas 1,350,326,71854,>1000,05091
108,ARCooperTire,Union Ryley #3,1,72.0,1440.0,Gas 1,350,326,71854,>1000,05091
109,ARDeltaNaturalKraft,Hog Fuel Boiler (SN-05),1,160.0,8600.0,Wet Biomass,400,322,71602,100-499,05053
111,ARDeltaNaturalKraft,MAP Boiler - SN-100,1,5.0,8400.0,Gas 1,350,322,71602,100-499,05053
113,ARDeltaNaturalKraft,Power Boiler (SN-06),1,80.0,8600.0,Gas 1,350,322,71602,100-499,05053
115,ARDelticTimberWaldo,Wood Fired Boiler No. 1 (SN-13),1,60.0,8760.0,Wet Biomass,400,321,71770,100-499,05099
117,ARDelticTimberWaldo,Wood Fired Boiler No. 2 (SN-14),1,60.0,8760.0,Wet Biomass,400,321,71770,100-499,05099
119,ARDelticTimberWaldo,Wood Fired Boiler No. 3 (SN-20),1,60.0,8760.0,Wet Biomass,400,321,71770,100-499,05099
121,ARDel-Tin,SN-05,1,291.0,8760.0,Wet Biomass,400,321,71730,,05139
122,ARDomtarIndustries,PKG2,1,210.0,1536.0,Gas 1,350,322,71822,>1000,05081
123,AREvergreenPackaging,BB,1,500.0,8570.0,Dry Biomass,400,322,71601,>1000,05079
125,AREvergreenPackaging,PB1,1,600.0,6000.0,Heavy Liquid,400,322,71601,>1000,05079
127,AREvergreenPackaging,PB2,1,600.0,120.0,Heavy Liquid,400,322,71601,>1000,05079
129,ARPlantersCottonOil,Boiler #1 (SN-44),1,20.921999999999997,8760.0,Gas 1,350,311,71601,50-99,05079
131,ARPlantersCottonOil,Boiler #2 (SN-45),1,20.921999999999997,8760.0,Gas 1,350,311,71601,50-99,05079
133,ARFlakeboardMalvern,SN-30,1,60.0,7800.0,Gas 1,350,321,72104,100-499,05053
137,ARFutureFuels,6M06-01,1,98.0,2000.0,Gas 1,350,325,72501,500-999,05063
139,ARFutureFuels,6M07-01,1,261.0,1000.0,Gas 1,350,325,72501,500-999,05063
141,ARGBPMorrilton,SN-02,1,162.0,2880.0,Wet Biomass,400,322,72110,100-499,05029
142,ARGBPMorrilton,SN-04,1,452.0,8400.0,Wet Biomass,400,322,72110,100-499,05029
143,ARGBPMorrilton,SN-14,1,250.0,500.0,Gas 1,350,322,72110,100-499,05029
144,ARGBPMorrilton,SN-15,1,205.0,3500.0,Gas 1,350,322,72110,100-499,05029
145,HIChevronKapolei,AG-5060-2,1,99.0,8760.0,Heavy Liquid,400,324,96707,,15003
146,HIChevronKapolei,F-5201,1,220.0,8760.0,Heavy Liquid,400,324,96707,,15003
147,HIChevronKapolei,F-5202,1,160.8,8760.0,Heavy Liquid,400,324,96707,,15003
148,HIChevronKapolei,F-5203,1,160.8,8760.0,Heavy Liquid,400,324,96707,,15003
149,HIChevronKapolei,AG-5060-1,1,99.0,8760.0,Heavy Liquid,400,324,96707,,15003
150,HITesoro,SG1103,1,126.0,8760.0,Heavy Liquid,400,324,96707,,15003
151,HITesoro,SG1102,1,82.0,8760.0,Heavy Liquid,400,324,96707,,15003
152,OHGlatfelterChillicothe,Power Boiler #8,1,500.0,8760.0,Coal,400,322,45601,,39079
155,OHGlatfelterChillicothe,Power Boiler #6,1,288.0,8760.0,Wet Biomass,400,322,45601,,39079
158,OHGlatfelterChillicothe,Power Boiler #7,1,375.0,8760.0,Coal,400,322,45601,,39079
161,OHUSEnrichmentCorpPiketon,X-600 Boiler No. 1,1,158.0,3500.0,Coal,400,325,45601,,39079
164,OHUSEnrichmentCorpPiketon,X-600 Boiler No. 2,1,158.0,3500.0,Coal,400,325,45601,,39079
167,OHUSEnrichmentCorpPiketon,X-600 Boiler No. 3,1,158.0,3500.0,Coal,400,325,45601,,39079
170,OHUSEnrichmentCorpPiketon,X-6002 Boiler No. 1 (North),1,81.1,2640.0,Light Liquid,350,325,45601,,39079
173,OHUSEnrichmentCorpPiketon,X-6002 Boiler No. 2 (South),1,81.1,2640.0,Light Liquid,350,325,45601,,39079
176,TXTemple-InlandOrange,Bark Boiler,1,394.0,8760.0,Wet Biomass,400,322,77632,,48241
179,WAPonderayAbibo,FBB boiler,1,64.0,8600.0,Dry Biomass,400,322,99180,,53051
180,LATempleInlandBogalusa,No. 10C Boiler,1,494.4,8600.0,Wet Biomass,400,322,70427,100-499,22103
182,LATempleInlandBogalusa,No. 12 Boiler,1,787.5,8600.0,Wet Biomass,400,322,70427,100-499,22103
184,MINewPageEscanaba,Power Boiler #7,1,154.0,8760.0,Heavy Liquid,400,322,49829,,26041
185,MINewPageEscanaba,Power Boiler #8,1,563.0,8760.0,Heavy Liquid,400,322,49829,,26041
186,MINewPageEscanaba,Power Boiler #9,1,563.0,8760.0,Wet Biomass,400,322,49829,,26041
187,MINewPageEscanaba,Power Boiler #11,1,938.0,8760.0,Coal,400,322,49829,,26041
188,FLSmurfitStonePanamaCity,No. 3 Combination Boiler,1,505.0,8760.0,Wet Biomass,400,322,32401,,12005
189,FLSmurfitStonePanamaCity,No. 4 Combination Boiler,1,545.0,8760.0,Wet Biomass,400,322,32401,,12005
190,MAMWCustomPapers,#1 Boiler,1,37.5,8760.0,Heavy Liquid,400,322,01260,,25003
191,MAMWCustomPapers,#2 Boiler,1,48.0,8760.0,Heavy Liquid,400,322,01260,,25003
192,ALHondaMfgLincoln,FAC-B2,1,30.0,1136.0,Gas 1,350,336,35096,>1000,01121
194,ALHondaMfgLincoln,FAC-B3,1,30.0,1136.0,Gas 1,350,336,35096,>1000,01121
196,ALHondaMfgLincoln,PA-B,4,5.0,8400.0,Gas 1,350,336,35096,>1000,01121
198,ALHondaMfgLincoln,FAC-B1,1,30.0,1136.0,Gas 1,350,336,35096,>1000,01121
200,ALHuntRefining,B-01,1,37.14,8668.0,Gas 1,350,324,35401,100-499,01125
201,ALHuntRefining,B-02,1,37.14,8549.0,Gas 1,350,324,35401,100-499,01125
202,ALHuntRefining,B-03,1,37.14,7974.0,Gas 1,350,324,35401,100-499,01125
203,ALHuntRefining,B-04,1,74.0,8514.0,Gas 1,350,324,35401,100-499,01125
204,ALHuntRefining,B-06,1,99.0,8586.0,Gas 1,350,324,35401,100-499,01125
205,VAGoodyear,Boiler #1,1,122.0,8760.0,Heavy Liquid,400,326,24541,,51143
207,VAGoodyear,Boiler #2,1,122.0,8760.0,Heavy Liquid,400,326,24541,,51143
209,VAGoodyear,Boiler #3,1,122.0,8760.0,Heavy Liquid,400,326,24541,,51143
211,VACorningIncDanville,400-03/400-04,1,10.5,3000.0,Gas 1,350,327,24541,100-499,51143
213,VACorningIncDanville,400-05,1,10.5,3000.0,Gas 1,350,327,24541,100-499,51143
215,VAGoodyearDanville,Boiler #1,1,92.0,8300.0,Gas 1,350,326,24541,>1000,51143
217,VAGoodyearDanville,Boiler #2,1,92.0,8300.0,Gas 1,350,326,24541,>1000,51143
219,VAGoodyearDanville,Boiler #3,1,92.0,8300.0,Gas 1,350,326,24541,>1000,51143
221,VAGoodyearDanville,Boiler #4,1,43.7,2300.0,Gas 1,350,326,24541,>1000,51143
223,ALManningtonWoodFloors,BB01,1,28.2,8760.0,Wet Biomass,400,321,35460,100-499,01119
224,ALManningtonWoodFloors,BB02,1,28.2,8760.0,Wet Biomass,400,321,35460,100-499,01119
225,ALMasterBrandCabinets,B1,1,5.0,8400.0,Gas 1,350,337,36832,100-499,01087
227,ALMeadwestvacoCottonton46,No.1 Power Boiler (PFI Boiler),1,428.0,5200.0,Gas 1,350,322,36868,500-999,01113
228,ALMeadwestvacoCottonton46,No.1 Wood Residue Boiler,1,337.0,8520.0,Wet Biomass,400,322,36868,500-999,01113
229,ALMeadwestvacoCottonton46,No.2 Wood Residue Boiler,1,550.0,8520.0,Wet Biomass,400,322,36868,500-999,01113
230,ALMeadwestvacoCottonton46,No.3 Wood Residue Boiler,1,915.0,8520.0,Wet Biomass,400,322,36868,500-999,01113
231,ALMercedesBenz,B-801,1,50.2,4000.0,Gas 1,350,336,35490,>1000,01125
