state,fips,county,eis_facility_id,company_name,site_name,naics_code,zip_code,eis_unit_id,unit_type,unit_description,design_capacity,design_capacity_uom,eis_process_id,process_description,calc_data_year,naics_sub,cap_mmbtuhr,fuel_type,data_source
GA,13217,Newton,15604511,,"General Mills Operations, Inc",311230,30014,98461713,Boiler,boilers,30.0,E6BTU/HR,138409314,boilers (three at 30 mmbtu/hr each),,311,30.0,,NEI
MI,26145,Saginaw,7238411,,Hemlock Semiconductor Operations LLC,327992,48626,99452213,Boiler,eus459-35018,0.01,E6BTU/HR,139173514,nan,,327,0.01,,NEI
MI,26145,Saginaw,7238411,,Hemlock Semiconductor Operations LLC,327992,48626,99452813,Boiler,eus468-46018,0.01,E6BTU/HR,139174114,nan,,327,0.01,,NEI
MI,26145,Saginaw,7238411,,Hemlock Semiconductor Operations LLC,327992,48626,99453113,Boiler,eus568-55418,0.01,E6BTU/HR,139174414,nan,,327,0.01,,NEI
MI,26123,Newaygo,6090411,Na,GERBER PRODUCTS CO,311422,49413,99453613,Boiler,euboiler-gl1,0.01,E6BTU/HR,139174914,nan,,311,0.01,,NEI
MI,26123,Newaygo,6090411,Na,GERBER PRODUCTS CO,311422,49413,99453713,Boiler,euboiler-gl2,0.01,E6BTU/HR,139175014,nan,,311,0.01,,NEI
MI,26139,Ottawa,6335811,Na,The Hillshire Brands Company,311612,49464,99453813,Boiler,eu-sausage-02,0.01,E6BTU/HR,139175114,nan,,311,0.01,,NEI
SC,45059,Laurens,6669211,,TEKNOR APEX CAROLINA CO,325991,29644,18890113,Boiler,blr 1 ng/#6oil 9.9 mmbtu,9.92,E6BTU/HR,139828814,blr 2 ng 9.92 mmbtu,,325,9.92,natural gas,NEI
SC,45047,Greenwood,4800211,,FUJIFILM MANUFACTURING USA INC,325992,29649,28539813,Boiler,p-plant boilers,70.1,E6BTU/HR,139830814,blr pb101b ng/lpg 32.658,,325,70.1,LPG/NGL,NEI
SC,45083,Spartanburg,4801611,Na,MILLIKEN CHEMICAL DEWEY PLANT,325998,29349,28530513,Boiler,blr 2 ng/6oil 25.1 mmbtu,25.1,E6BTU/HR,139832014,600 hp boiler - lfg,,325,25.1,natural gas,NEI
SC,45083,Spartanburg,4801611,Na,MILLIKEN CHEMICAL DEWEY PLANT,325998,29349,28530913,Boiler,blr 1 ng/6oil 10.5mmbtu,10.5,E6BTU/HR,139832214,10.5 mmbtu boiler - lfg,,325,10.5,natural gas,NEI
MN,27111,Otter Tail,13601011,,Industrial Finishing Services Inc - Perham,332812,56573,102655413,Boiler,pretreatment system/washer burner (existing system) - cleaning equipment,0.01,E6BTU/HR,144142814,natural gas combustion,,332,0.01,natural gas,NEI
MN,27111,Otter Tail,13601011,,Industrial Finishing Services Inc - Perham,332812,56573,102655513,Boiler,dry off oven (existing system) - dryer/oven,0.01,E6BTU/HR,144142914,natural gas combustion,,332,0.01,natural gas,NEI
MN,27111,Otter Tail,13601011,,Industrial Finishing Services Inc - Perham,332812,56573,102655613,Boiler,main cure oven 1 (existing system) w/purge exhaust - dryer/oven,0.01,E6BTU/HR,144143014,natural gas combustion,,332,0.01,natural gas,NEI
MN,27049,Goodhue,6377811,Na,DairiConcepts LP,311513,55992,15663413,Boiler,boiler - industrial,0.1,E6BTU/HR,144155414,natural gas - less than and equal to 100 million btu/hr,,311,0.1,natural gas,NEI
PA,42101,Philadelphia,3966811,US DEPT OF TREASURY MINT BUR,US MINT/PHILA,332119,19106-1819,103860513,Boiler,seco warwick furnace #1,0.01,E6BTU/HR,146956114,external combustion boilers  ;  industrial  ;  natural gas  ;  < 10 million btu/hr,,332,10.0,natural gas,NEI
PA,42101,Philadelphia,3966811,US DEPT OF TREASURY MINT BUR,US MINT/PHILA,332119,19106-1819,103860913,Boiler,seco warwick furnace #5,0.01,E6BTU/HR,146956514,external combustion boilers  ;  industrial  ;  natural gas  ;  < 10 million btu/hr,,332,10.0,natural gas,NEI
PA,42101,Philadelphia,3966811,US DEPT OF TREASURY MINT BUR,US MINT/PHILA,332119,19106-1819,103861013,Boiler,emergency diesel elect ge,0.01,E6BTU/HR,146956614,internal combustion engines  ;  electric generation  ;  distillate oil (diesel)  ;  reciprocating,,332,0.01,fuel oil,NEI
OH,39007,Ashtabula,8116711,Na,Vesuvius USA Corp. - Conneaut Plant (0204020036),327999,44030,89726013,Boiler,afax spray tower system: auto-batch system that dispenses raw materials with a dc autobatch wet ...,11.7,E6BTU/HR,150347314,autobatch system,,327,11.7,,NEI
OH,39107,Mercer,14691011,,J & M MFG CO INC (0354000124),333111,45846,105762413,Boiler,paint spray booth #4,10.6,E6BTU/HR,150359914,spray booth # 4- cleanup,2017.0,333,10.6,,NEI
OH,39107,Mercer,14691011,,J & M MFG CO INC (0354000124),333111,45846,105762513,Boiler,paint spray booth #5,10.6,E6BTU/HR,150360214,spray booth #5 coating,2017.0,333,10.6,,NEI
OH,39173,Wood,14693411,,"American Warming and Ventilating, a division of Mestek (0387000107)",332322,43406,89807913,Boiler,metal architectural louver coating line (modification to combine synthetic minor limits for haps...,3.0,E6BTU/HR,150363714,primer spray paint booths 1&2,,332,3.0,,NEI
OH,39095,Lucas,8418011,,BP-Husky Refining LLC (0448020007),324110,43697,627513,Boiler,"iso 2 stabilizer reboiler: 110 mmbtu/hr process heater fired with refinery fuel gas, natural gas...",110.0,E6BTU/HR,150363914,iso 2 stabilizer reboiler that vents out the stack of the iso 2 splitter reboiler (b010) after it go,,324,110.0,natural gas,NEI
OH,39095,Lucas,8418011,,BP-Husky Refining LLC (0448020007),324110,43697,627413,Boiler,"iso 2 splitter reboiler: 110 mmbtu/hr process heater fired with refinery fuel gas, natural gas, ...",110.0,E6BTU/HR,150364014,iso 2 splitter reboiler goes through  iso combustion air preheater before venting.,,324,110.0,natural gas,NEI
OH,39095,Lucas,8418011,,BP-Husky Refining LLC (0448020007),324110,43697,73691613,Boiler,east alstom boiler (pr-562969): 353 mmbtu/hr heater fired with refinery fuel gas and/or natural ...,353.0,E6BTU/HR,150365614,east alston boiler has ultra low nox burners,,324,353.0,,NEI
