FACILITY_NAME,COUNTY_FIPS,COUNTY,ZIP,NAICS,SIC,Description,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Maxmum gross heat input,Unit
STEINWAY & SONS,,,11105,,3931,,2017,FST-600,No. 2 fuel oil and natural gas,,,24.2,MMBtu/hr
STEINWAY & SONS,,,11105,,3931,,2017,"Cleaver Brooks, SB600-600",No. 2 fuel oil and natural gas,,,25.2,MMBtu/hr
CHEMPRENE INC,,,12508,,3052,,2016,00B01,natural gas or No.4 fuel oil,,,20.92,MMBtu/hr
CHEMPRENE INC,,,12508,,3052,,2016,00B02,natural gas or No.4 fuel oil,,,20.92,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
GLOBALFOUNDRIES US 2 LLC,,,12533,,3471,,2017,,natural gas,,,72,MMBtu/hr
METAL CONTAINER CORP,,,12553,,3411,,2016,BLR01,natural gas,,,12.55,MMBtu/hr
METAL CONTAINER CORP,,,12553,,3411,,2016,BLR02,natural gas,,,12.55,MMBtu/hr
GLOBAL COMPANIES LLC,,,12553,,2999,,2015,,oil,,,0.595,MMBtu/hr
REVERE SMELTING & REFINING CORP,,,10941,,3341,,2014,4-BOILR,natural gas,,,12.5,MMBtu/hr
BASF CORP,,,10566,,2816,,2012,boiler #3,natural gas,,,12.5,MMBtu/hr
BASF CORP,,,10566,,2816,,2012,Boiler #2,natural gas,,,12.6,MMBtu/hr
