FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
"General Dynamics – Armament and Technical Products, Inc",24354,332311,,2013,Cleaver Brook 18,Natural gas/distillate oil,,,50.2,MMBtu/hr,
"General Dynamics – Armament and Technical Products, Inc",24354,332311,,2013,Cleaver Brook 19,Natural gas/distillate oil,,,12.5,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-1,Wood/coal,,,21.776,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-2,Wood/coal,,,19.16,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-3,Wood/coal,,,27,MMBtu/hr,
"Vaughan-Bassett Furniture Company, Inc.",24333,337122,,2017,BS-4,Wood/coal,,,28,MMBtu/hr,
"Yokohama Tire Manufacturing Virginia, LLC",24153,326211,,2015,FB-B3,Natural gas/No.2 fuel oil,,,55.1,MMBtu/hr,
"Yokohama Tire Manufacturing Virginia, LLC",24153,326211,,2015,FB-B4,Natural gas/No.2 fuel oil,,,79.4,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B3.1,Natural gas/pentane,,,10.043,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B1,Natural gas,,,8.375,MMBtu/hr,
RADVA Corporation,24141,326140,,2014,B2,Natural gas,,,7,MMBtu/hr,
Volvo Trucks North America,24084,336120,,2010,14FBE-001,Natural gas,,,6.3,MMBtu/hr,
Dynax America Corporation,24019,336350,,2014,B1,Natural gas,,,4.2,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B1,Natural gas,,,33.5,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B2,Natural gas,,,33.5,MMBtu/hr,
"James Hardie Building Products, Inc",24301,327390,,2015,B3,Natural gas,,,33.5,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-BA-1,Natural gas,,,0.67,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-BB-6,Natural gas/distillate oil,,,1.5,MMBtu/hr,
Babcock & Wilcox Nuclear Operations Group Inc.,24505,332410,,2013,EU-U-6,Natural gas/distillate oil,,,0.775,MMBtu/hr,
"MW Manufacturers, Inc.",24151,321911,,2014,CNB Tri-Fuel boiler,Coal,,,21.32,MMBtu/hr,
Southern Finishing Company,24112,337122,,2014,EP-1,Wood/No.2 fuel oil,,,9,MMBtu/hr,
Southern Finishing Company,24112,337122,,2014,EP-2,Wood/No.2 fuel oil,,,9,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR01,Natural gas/Residual oil,,,224.6,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR02,Natural gas/Residual oil,,,224.6,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR03,Natural gas/DIstillate oil,,,100,MMBtu/hr,
Greif Riverville LLC.,24521,322130,,2013,BLR05,Natural gas/Wood residuals/Paper recycling residues,,,292,MMBtu/hr,
Owens-Brockway Glass Container Inc.,24586,327213,,2012,B-1,Natural gas/liquefied petroleum gas,,,14.6,MMBtu/hr,
Owens-Brockway Glass Container Inc.,24586,327213,,2012,B-2,Natural gas,,,2.4,MMBtu/hr,
Intertape Polymer Corporation,24540,326113,,2016,15-FS,Natural gas,,,8.16,MMBtu/hr,
"Huber Engineered Woods, LLC",24539,321219,,2016,BL boiler,Natural gas,,,1.26,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B1-1,Wood,,,28.7,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B2-1,Wood,,,28.7,MMBtu/hr,
"ArborTech Forest Products, Inc.",23824,321113,,2016,B3-1,Distillate oil,,,9.9,MMBtu/hr,
"Smurfit-Stone Container Enterprises, Inc",23181,322130,,2008,PH08,Coal/No.6 fuel oil,,,553,MMBtu/hr,
"Smurfit-Stone Container Enterprises, Inc",23181,322130,,2008,PH10,Wood waste/bark/WWTP sludge,,,659,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB1,No.6 fuel oil,,,14.7,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB2,No.6 fuel oil,,,6.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,PB3,No.6 fuel oil,,,14.7,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB1,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB2,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB3,No.6 fuel oil,,,29.3,MMBtu/hr,
"Tyson Foods, Inc.",23442,311615,,2013,RB4,No.6 fuel oil,,,29.3,MMBtu/hr,
"Cellofoam North America, Inc",22405,326140,,2013,B1,Natural gas,,,9,MMBtu/hr,
"Cellofoam North America, Inc",22405,326140,,2013,B2,Natural gas,,,6,MMBtu/hr,
Kaiser Aluminum Fabricated Products LLC,23237,331316,,2012,,Natural gas,,,2.5,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,19,Natural gas,,,26,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,20,Natural gas,,,13.3,MMBtu/hr,
Reynolds Consumer Products Inc.,23237,323111,,2012,21,Natural gas,,,20.3,MMBtu/hr,
Ball Metal Beverage Container Corporation,23185,332431,,2015,B1-1,,,,4.3,MMBtu/hr,
Ball Metal Beverage Container Corporation,23185,332431,,2015,,,,,9.99,MMBtu/hr,
