FACILITY_ID,FACILITY_NAME,COUNTY_FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2010,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,58.92896604,gallons,8.19112628,0.00093506
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2010,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,58.92896604,gallons,8.19112628,0.00093506
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2013,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,58.92896604,gallons,8.19112628,0.00093506
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2013,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,58.92896604,gallons,8.19112628,0.00093506
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2014,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,117.8579321,gallons,16.38225256,0.00187012
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2014,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,117.8579321,gallons,16.38225256,0.00187012
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2011,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,39.28597736,gallons,5.460750853,0.000623373
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2011,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,39.28597736,gallons,5.460750853,0.000623373
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2012,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,19.64298868,gallons,2.730375427,0.000311687
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2012,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,19.64298868,gallons,2.730375427,0.000311687
1002403,Lhoist North America /Clifton Plant,48035,BOSQUE,327410,2013,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),172.5,mmBtu/hr,,,599.1111548,gallons,83.27645051,0.009506444
1002403,Lhoist North America /Clifton Plant,48035,BOSQUE,327410,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),172.5,mmBtu/hr,,,844.6485133,gallons,117.4061433,0.013402528
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2013,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2013,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2011,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,29.46448302,gallons,4.09556314,0.00046753
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2011,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,29.46448302,gallons,4.09556314,0.00046753
