site_name,FACILITY_NAME
"General Mills Operations, Inc","('AG PROCESSING INC', 86)"
Hemlock Semiconductor Operations LLC,"('AMALGAMATED SUGAR CO LLC', 86)"
GERBER PRODUCTS CO,"('GERBER PRODUCTS CO', 100)"
The Hillshire Brands Company,"('Hill', 90)"
TEKNOR APEX CAROLINA CO,"('Olin', 90)"
FUJIFILM MANUFACTURING USA INC,"('AG PROCESSING INC', 86)"
MILLIKEN CHEMICAL DEWEY PLANT,"('ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT', 86)"
Industrial Finishing Services Inc - Perham,"('AG PROCESSING INC', 86)"
DairiConcepts LP,"('CALUMET LUBRICANTS CO LP', 86)"
US MINT/PHILA,"('AGRIUM US BORGER NITROGEN OPERATIONS', 86)"
Vesuvius USA Corp. - Conneaut Plant (0204020036),"('AIR PRODUCTS BAYTOWN PLANT', 86)"
J & M MFG CO INC (0354000124),"('A AR Mfg', 86)"
"American Warming and Ventilating, a division of Mestek (0387000107)","('3M MAGNETIC TAPE MANUFACTURING DIVISION', 86)"
BP-Husky Refining LLC (0448020007),"('BP Husky Refining LLC', 90)"
"Weidmann Electrical Technology, Inc. (0111005006)","('AG PROCESSING INC', 86)"
HOLMES BY-PRODUCTS INC. (0238000004),"('AG PROCESSING INC', 86)"
Winesburg Hardwood Lumber Co LLC (0238002007),"('A&AT LLC WAYNESBORO FACILITY', 86)"
NOVA CHEMICALS INC (0243000012),"('AG PROCESSING INC', 86)"
METOKOTE CORP PLANT NO 9 (0247120821),"('Addis Carbon Black Plant', 86)"
Smithfield Farmland Corp - Middlesboro,"('Albemarle Corp Orangeburg', 86)"
General Dynamics Ordnance & Tactical Systems Inc,"('AG PROCESSING INC', 86)"
Congar International,"('DECORATIVE PANELS INTERNATIONAL  INC.', 86)"
"Pepsi Cola Puerto Rico Distributing, LLC","('AMALGAMATED SUGAR CO LLC', 86)"
"Industria Lechera de PR, INC","('AG PROCESSING INC', 86)"
Baxter Healthcare of Puerto Rico,"('Abbott Nutrition - A Division of Abbott Laboratories', 86)"
Pfizer Pharmaceuticals LLC (VB),"('Pfizer', 90)"
Caribbean Refrescos,"('Brand FX', 56)"
CCI Limited Partnership,"('HOLCIM TEXAS LIMITED PARTNERSHIP', 86)"
Club Caribe Distillers,"('BROWN-FORMAN DISTILLERY (FORMERLY EARLY TIMES DISTILLERS CO)', 86)"
"Pepsi Cola Manufacturing International, Limited","('AMGEN MANUFACTURING  LIMITED', 86)"
ANCHOR GLASS CONTAINER CORP,"('Beltservice Corp', 86)"
YENKIN MAJESTIC PAINT CORP (0125040262),"('Albemarle Corp Orangeburg', 86)"
"Plaskolite, LLC. (0125040915)","('ALTIVIA Petrochemicals  LLC - HAVERHILL COMPLEX', 86)"
"Aleris Rolled Products, Inc. (0165000045)","('AG PROCESSING INC', 86)"
DuPont Specialty Products - Circleville (0165010004),"('AIR PRODUCTS BAYTOWN PLANT', 86)"
Continental Structural Plastics of Ohio LLC aka CSP OH (0204020245),"('A&AT LLC WAYNESBORO FACILITY', 86)"
"Imperial Aluminum - Minerva, LLC (0210000107)","('A&AT LLC WAYNESBORO FACILITY', 86)"
Kobe Aluminum Automotive Products LLC,"('AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY', 86)"
BUSH BROTHERS & CO INC,"('AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY', 86)"
METALLICS INC,"('AG PROCESSING INC-SHELDON', 86)"
"SPARTEK, INC","('AG PROCESSING INC-SHELDON', 86)"
ASSOCIATED MILK PRODUCERS INC (AMPI)-WHEY,"('AG PROCESSING INC', 86)"
ASSOCIATED MILK PRODUCERS INC (AMPI)-CHEESE,"('AG PROCESSING INC', 86)"
NICOLET HARDWOODS CORP,"('AK STEEL CORP ASHLAND WORKS COKE PLANT', 86)"
IMPERIAL INDUSTRIES INC,"('AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY', 86)"
"Dunn Paper - Ladysmith, LLC","('ALTIVIA Petrochemicals  LLC - HAVERHILL COMPLEX', 86)"
NESTLE PIZZA CO,"('AMALGAMATED SUGAR CO LLC', 86)"
SIERRA PACIFIC WINDOWS,"('Sierra Pacific', 90)"
MASTERMOLD LLC PLT 3 MAUSTON,"('3 MAlexandria', 86)"
GREEN BAY DRESSED BEEF,"('Green Bay Packaging Mill Division', 86)"
BRETTING C G MFG CO,"('A AR Mfg', 86)"
OSHKOSH CORPORATION OAKWOOD FACILITY,"('AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY', 86)"
PROFESSIONAL POWER PRODUCTS INC,"('AG PROCESSING INC', 86)"
MADISON-KIPP CORPORATION - SUN PRAIRIE,"('A DM Northern Sun', 86)"
LAKE REG MED/COLLEGEVILLE,"('CITGO PETROLEUM CORP - LAKE CHARLES MANUFACTURING COMPLEX', 86)"
ACCURIDE ERIE LP/ERIE FORGE PLT,"('CHEVRON PHILLIPS CHEMICAL COMPANY  LP PORT ARTHUR PLANT', 86)"
AMERICAN CRAFT BREWERY LLC/BREINIGSVILLE,"('AMALGAMATED SUGAR CO LLC', 86)"
BOEING CO PHILA/ RIDLEY PARK PA FAC,"('ANGUS CHEMICAL CO', 86)"
KRANOS CORP DBA SCHUTT RECONDITIONING,"('Anderson Corp Bayport', 86)"
DART CONTAINER CORP/LEOLA,"('Dart Container', 90)"
BOSTIK INCORPORATED,"('AG PROCESSING INCORPORATED A COOPERATIVE', 86)"
G. A. Wintzer & Son Company (0306020008),"('A AR Mfg', 86)"
GM Defiance Casting Operations (0320010001),"('Essity Operations Wausau LLC', 86)"
CertainTeed Corp. (0322000017),"('Beltservice Corp', 86)"
ADM-Fostoria (0332020187),"('ADM - MANKATO', 86)"
Bunge N.A. (0339010005),"('A AR Mfg', 86)"
Pepperidge Farm Inc. (0339030011),"('Pepperidge Farm', 90)"
"Bimbo Bakeries USA, Inc. - Gastonia","('AG PROCESSING INC', 86)"
"Woodpecker Partners, LLC","('ALTIVIA Petrochemicals  LLC - HAVERHILL COMPLEX', 86)"
Continental Structural Plastics - Lenoir,"('Continental NA', 86)"
Continental Structural Plastics - Salisbury,"('Continental NA', 86)"
"Cargill, Inc. - Fayetteville","('Cargill Fayetteville', 95)"
Carpenter Company - Taylorsville Plant,"('ADM MILLING COMPANY', 86)"
"Case Farms, LLC - Feed Mill","('ALTIVIA Petrochemicals  LLC - HAVERHILL COMPLEX', 86)"
"Southern Veneer Specialty Products, LLC - Moncure","('A&AT LLC WAYNESBORO FACILITY', 86)"
"Unilin Flooring NC, LLC - Thomasville Facility","('Thomasville', 90)"
"Meridian Specialty Yarn Group, Inc. - Valdese Plant","('AG PROCESSING INC', 86)"
Vertellus Greensboro LLC,"('ALTIVIA Petrochemicals  LLC - HAVERHILL COMPLEX', 86)"
3M - Administrative Offices - Maplewood,"('3M CORDOVA', 86)"
CertainTeed Corp,"('AK STEEL CORP ASHLAND WORKS COKE PLANT', 86)"
Marathon Petroleum Co LLC - Catlettsburg Refining,"('Catlettsburg Refining', 90)"
Metalsa Structural Products Inc,"('AG PROCESSING INC', 86)"
James Ritter Lumber Co,"('BROWN-FORMAN DISTILLERY (FORMERLY EARLY TIMES DISTILLERS CO)', 86)"
Daicel Safety Technologies America LLC,"('AMALGAMATED SUGAR CO LLC', 86)"
Nucor Steel Memphis Inc.,"('Nucor Steel', 90)"
"Ktg-Usa, Inc.","('AG PROCESSING INC-SHELDON', 86)"
PMC Biogenix (formerly Crompton Corporation/ Enenco),"('AK Steel Corporation - Middletown', 86)"
E  I  Dupont De Nemours & Company  Inc,"('ADM MILLING COMPANY', 86)"
Liberty Casting Co (0121010003),"('ANGUS CHEMICAL CO', 86)"
EMC CORPORATION,"('ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT', 86)"
METALOR TECHNOLOGIES USA,"('KELLOGG USA INC', 86)"
