FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,TIER,CO2_COMBUSTION_EMISSIONS,CH4_COMBUSTION_EMISSIONS,FUEL_QUANTITY,FUEL_QUANTITY_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,INPUT_HEAT_CAPACITY_UNIT_OTHER,FUEL_COM,FUEL_UNIT,ENERGY_COM,ENERGY_UNIT,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_sub,Zip,Num_Empl,FIPS_m,State,mactID
1002403.0,Lhoist North America /Clifton Plant,48035.0,BOSQUE,327410.0,2013.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),6.1,0.0,,,172.5,mmBtu/hr,,,,,599.1111547999999,gallons,83.27645051,MMBtu,0.009506444000000001,11.0,,,,,,,,,,,,,
1002403.0,Lhoist North America /Clifton Plant,48035.0,BOSQUE,327410.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),8.6,0.0,,,172.5,mmBtu/hr,,,,,844.6485133,gallons,117.4061433,MMBtu,0.013402528,12.0,,,,,,,,,,,,,
1003472.0,Superior Refining Company LLC,55031.0,DOUGLAS COUNTY,324110.0,2011.0,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,,,0.65,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,23.0,,,,,,,,,,,,,
1001154.0,Itafos Conda LLC,16029.0,CARIBOU,325312.0,2013.0,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),8.4,0.0,,,213.8,mmBtu/hr,,,,,825.0055246000001,gallons,114.6757679,MMBtu,0.013090841,35.0,,,,,,,,,,,,,
1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,326199.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0.0,,,34.5,mmBtu/hr,,,,,117.8579321,gallons,16.38225256,MMBtu,0.00187012,36.0,,,,,,,,,,,,,
1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,322222.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0.0,,,34.5,mmBtu/hr,,,,,117.8579321,gallons,16.38225256,MMBtu,0.00187012,37.0,,,,,,,,,,,,,
1003385.0,HEXCEL CORPORATION,1103.0,MORGAN,325222.0,2013.0,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,,,37.7,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,38.0,,,,,,,,,,,,,
1003385.0,HEXCEL CORPORATION,1103.0,MORGAN,325220.0,2013.0,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,,,37.7,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,39.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2016.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,49.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2016.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,50.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,51.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,52.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2014.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,53.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2014.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.0,0.0,0.0,gallons/year,21.59,mmBtu/hr,,,,,0.0,gallons,0.0,MMBtu,0.0,54.0,,,,,,,,,,,,,
