FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_sub,Zip,Num_Empl,FIPS_m,State,mactID
1002403.0,Lhoist North America /Clifton Plant,48035.0,BOSQUE,327410.0,2013.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),172.5,mmBtu/hr,,,599.1111547999999,gallons,83.27645051,0.009506444000000001,11.0,,,,,,,,,,,,,
1002403.0,Lhoist North America /Clifton Plant,48035.0,BOSQUE,327410.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),172.5,mmBtu/hr,,,844.6485133,gallons,117.4061433,0.013402528,12.0,,,,,,,,,,,,,
1003472.0,Superior Refining Company LLC,55031.0,DOUGLAS COUNTY,324110.0,2011.0,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),0.65,mmBtu/hr,,,0.0,gallons,0.0,0.0,23.0,,,,,,,,,,,,,
1001154.0,Itafos Conda LLC,16029.0,CARIBOU,325312.0,2013.0,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,825.0055246000001,gallons,114.6757679,0.013090841,35.0,,,,,,,,,,,,,
1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,326199.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),34.5,mmBtu/hr,,,117.8579321,gallons,16.38225256,0.00187012,36.0,,,,,,,,,,,,,
1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,322222.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),34.5,mmBtu/hr,,,117.8579321,gallons,16.38225256,0.00187012,37.0,,,,,,,,,,,,,
1003385.0,HEXCEL CORPORATION,1103.0,MORGAN,325222.0,2013.0,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),37.7,mmBtu/hr,,,0.0,gallons,0.0,0.0,38.0,,,,,,,,,,,,,
1003385.0,HEXCEL CORPORATION,1103.0,MORGAN,325220.0,2013.0,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),37.7,mmBtu/hr,,,0.0,gallons,0.0,0.0,39.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2016.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,49.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2016.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,50.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,51.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2015.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,52.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311710.0,2014.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,53.0,,,,,,,,,,,,,
1003407.0,UNISEA - DUTCH HARBOR,2016.0,ALEUTIANS WEST,311711.0,2014.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0.0,gallons,0.0,0.0,54.0,,,,,,,,,,,,,
1001154.0,Itafos Conda LLC,16029.0,CARIBOU,325312.0,2015.0,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,1125.0,gallons,156.375,0.017851027,57.0,,,,,,,,,,,,,
1001154.0,Itafos Conda LLC,16029.0,CARIBOU,325312.0,2016.0,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,1088.0,gallons,151.232,0.017263927,58.0,,,,,,,,,,,,,
1002871.0,Little Rapids - Shawano Paper Mill,55115.0,SHAWANO COUNTY,322121.0,2014.0,B24,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60.0,mmBtu/hr,195.95394299999998,gallons,27.04164413,0.0030869459999999997,221.0,,,,,,,,,,,,,
1002871.0,Little Rapids - Shawano Paper Mill,55115.0,SHAWANO COUNTY,322121.0,2018.0,B25,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60.0,mmBtu/hr,0.0,gallons,0.0,0.0,222.0,,,,,,,,,,,,,
1002871.0,Little Rapids - Shawano Paper Mill,55115.0,SHAWANO COUNTY,322121.0,2017.0,B24,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60.0,mmBtu/hr,0.0,gallons,0.0,0.0,223.0,,,,,,,,,,,,,
1002871.0,Little Rapids - Shawano Paper Mill,55115.0,SHAWANO COUNTY,322121.0,2017.0,B25,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60.0,mmBtu/hr,0.0,gallons,0.0,0.0,224.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2015.0,80-B-001,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,274.3355202,gallons,37.85830178,0.004321724,227.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2018.0,80-B-002,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,19.5953943,gallons,2.704164413,0.000308695,229.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2015.0,80-B-002,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,411.50328030000003,gallons,56.78745268,0.006482585999999999,231.0,,,,,,,,,,,,,
