state,fips,county,company_name,site_name,naics_code,zip_code,eis_unit_id,naics_sub,cap_mmbtuhr,fuel_type,data_source,REPORTING_YEAR,UNIT_TYPE,TIER,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,Op Hours Per Year
OH,39095.0,Lucas,,BP-Husky Refining LLC (0448020007),324110.0,43697,627513.0,324.0,110.0,natural gas,"NEI, GHGRP",2016.0,OB (Boiler  other),Tier 3 (Equation C-5  gaseous fuel),,,na,na,
OH,39095.0,Lucas,,BP-Husky Refining LLC (0448020007),324110.0,43697,627413.0,324.0,110.0,natural gas,"NEI, GHGRP",2016.0,OB (Boiler  other),Tier 3 (Equation C-5  gaseous fuel),,,na,na,
OH,39095.0,Lucas,,BP-Husky Refining LLC (0448020007),324110.0,43697,73691613.0,324.0,353.0,other fuels,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 3 (Equation C-5  gaseous fuel),,,na,na,
OH,39095.0,Lucas,,BP-Husky Refining LLC (0448020007),324110.0,43697,73691713.0,324.0,353.0,other fuels,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 3 (Equation C-5  gaseous fuel),,,na,na,
AL,1103.0,Morgan,,Indorama Ventures Xylenes & PTA LLC,325199.0,35609,103287413.0,325.0,400.0,natural gas,"NEI, GHGRP",2015.0,OB (Boiler  other),Tier 3 (Equation C-5  gaseous fuel),,,na,na,
PA,42083.0,McKean,AMER REF GROUP INC,AMER REF GROUP/BRADFORD,324110.0,16701-1726,19112813.0,324.0,99.0,natural gas,"NEI, MACT",2012.0,,,,,,,4380.0
PA,42083.0,McKean,AMER REF GROUP INC,AMER REF GROUP/BRADFORD,324110.0,16701-1726,19113313.0,324.0,99.0,natural gas,"NEI, MACT",2012.0,,,,,,,4380.0
PA,42083.0,McKean,AMER REF GROUP INC,AMER REF GROUP/BRADFORD,324110.0,16701-1726,19114113.0,324.0,169.0,coal,"NEI, MACT",2012.0,,,,,,,8500.0
WI,55115.0,Shawano,,LITTLE RAPIDS CORP - SHAWANO PAPER MILL,322121.0,54166-6082,91431313.0,322.0,60.0,natural gas,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 1 (Equation C-1),0.0,gallons,0,0,
WI,55115.0,Shawano,,LITTLE RAPIDS CORP - SHAWANO PAPER MILL,322121.0,54166-6082,91431413.0,322.0,60.0,natural gas,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 1 (Equation C-1),0.0,gallons,0,0,
WI,55115.0,Shawano,,LITTLE RAPIDS CORP - SHAWANO PAPER MILL,322121.0,54166-6082,11372313.0,322.0,15.0,natural gas,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 1 (Equation C-1),0.0,gallons,0,0,
WI,55115.0,Shawano,,LITTLE RAPIDS CORP - SHAWANO PAPER MILL,322121.0,54166-6082,11372213.0,322.0,10.0,biomass,"NEI, GHGRP",2017.0,OB (Boiler  other),Tier 1 (Equation C-1),0.0,gallons,0,0,
