FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,55.6,mmBtu/hr,0.0,gallons,0,0,42,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,55.6,mmBtu/hr,0.0,gallons,0,0,2295,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2011,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),,,55.6,mmBtu/hr,137.9038613081166,gallons,18.61702127659574,0.002125230739337413,3026,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2012,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),,,55.6,mmBtu/hr,19.70055161544523,gallons,2.659574468085106,0.0003036043913339162,3028,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2017,GP-Boilers 3 4 5,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),,,55.6,mmBtu/hr,197.0055161544523,gallons,26.59574468085106,0.003036043913339162,3030,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2015,GP-boilers 1  2  3,OCS (Other combustion source),Bituminous,Tier 2 (Equation C-2a),,,55.6,mmBtu/hr,2751.0,tons,75283.866,8.594048630136985,11227,Viskase,Boiler 3,1,55.6,1440,Gas 1,350,326,37774,100-499,TN,2930
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2018,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,mmBtu/hr,,,0.0,gallons,0,0,244,Neenah Paper MI,Boiler 2,1,225.0,1,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2017,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,mmBtu/hr,,,0.0,gallons,0,0,246,Neenah Paper MI,Boiler 2,1,225.0,1,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2015,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,mmBtu/hr,,,225.3470344330268,gallons,31.09789075175771,0.003549987528739464,248,Neenah Paper MI,Boiler 2,1,225.0,1,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2014,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,mmBtu/hr,,,88.17927434335834,gallons,12.16873985938345,0.001389125554724139,250,Neenah Paper MI,Boiler 2,1,225.0,1,Light Liquid,350,322,49862,100-499,MI,1836
