,FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_sub
0,,3 MAlexandria,27121.0,,,2012.0,Boiler 1,,Gas 1,,,,,,1.0,46.023999999999994,8760.0,Gas 1,350.0,327.0
1,,3 MAlexandria,27121.0,,,2012.0,Boiler 2,,Gas 1,,,,,,1.0,46.023999999999994,8760.0,Gas 1,350.0,327.0
2,,3 MBrownwood,48333.0,,,2012.0,Boiler #1,,Gas 1,,,,,,1.0,27.0,8760.0,Gas 1,350.0,339.0
3,,3 MBrownwood,48333.0,,,2012.0,Boiler #2,,Gas 1,,,,,,1.0,27.0,3792.0,Gas 1,350.0,339.0
4,,3 MBrownwood,48333.0,,,2012.0,Boiler #3,,Gas 1,,,,,,1.0,14.0,3250.0,Gas 1,350.0,339.0
5,,3 MCynthiana,21017.0,,,2012.0,EP08-1,,Gas 1,,,,,,1.0,12.5,6570.0,Gas 1,350.0,322.0
6,,3 MCynthiana,21017.0,,,2012.0,EP08-2,,Gas 1,,,,,,1.0,12.5,6570.0,Gas 1,350.0,322.0
7,,3 MCynthiana,21017.0,,,2012.0,EP21,,Gas 1,,,,,,1.0,16.74,6570.0,Gas 1,350.0,322.0
8,,3 MCynthiana,21017.0,,,2012.0,EP32,,Gas 1,,,,,,1.0,39.0,8760.0,Gas 1,350.0,322.0
9,,3 MDecatur,1103.0,,,2012.0,DCTR Dyneon Plastics,,Gas 1,,,,,,1.0,21.0,8600.0,Gas 1,350.0,325.0
10,,3 MDecatur,1103.0,,,2012.0,DCTR Site Boiler 1,,Gas 1,,,,,,1.0,53.5,1800.0,Gas 1,350.0,325.0
11,,3 MDecatur,1103.0,,,2012.0,DCTR Site Boiler 3,,Gas 1,,,,,,1.0,90.0,6200.0,Gas 1,350.0,325.0
12,,3 MDecatur,1103.0,,,2012.0,DCTR Site Boiler 6,,Gas 1,,,,,,1.0,122.6,7900.0,Gas 1,350.0,325.0
13,,3 MGreenville Film,45045.0,,,2012.0,Unit 11 - SB1,,Light Liquid,,,,,,1.0,57.9,8400.0,Light Liquid,350.0,326.0
14,,3 MGreenville Film,45045.0,,,2012.0,Unit 12 - SB2,,Light Liquid,,,,,,1.0,41.4,8400.0,Light Liquid,350.0,326.0
15,,3 MGuin,1093.0,,,2012.0,Cleaver Brooks,,Gas 1,,,,,,1.0,16.75,8688.0,Gas 1,350.0,326.0
16,,3 MGuin,1093.0,,,2012.0,Kewanee,,Gas 1,,,,,,1.0,16.7,4464.0,Gas 1,350.0,326.0
17,,3 MGuin,1093.0,,,2012.0,Power Master,,Gas 1,,,,,,1.0,10.5,2232.0,Gas 1,350.0,326.0
18,,3 MHartford City,18179.0,,,2012.0,EU008 - Boiler 1,,Gas 1,,,,,,1.0,12.552999999999999,2800.0,Gas 1,350.0,322.0
19,,3 MHartford City,18179.0,,,2012.0,EU009 - Boiler 2,,Gas 1,,,,,,1.0,12.552999999999999,2800.0,Gas 1,350.0,322.0
20,,3 MHartford City,18179.0,,,2012.0,EU010 - Boiler 3,,Gas 1,,,,,,1.0,12.552999999999999,2800.0,Gas 1,350.0,322.0
21,,3 MHutchinson,27085.0,,,2012.0,Bldg 33-1,,Gas 1,,,,,,1.0,5.0,8400.0,Gas 1,350.0,322.0
22,,3 MHutchinson,27085.0,,,2012.0,EU001 - Boiler 3,,Heavy Liquid,,,,,,1.0,110.0,5000.0,Heavy Liquid,400.0,322.0
23,,3 MHutchinson,27085.0,,,2012.0,EU002 - Boiler 4,,Heavy Liquid,,,,,,1.0,110.0,3500.0,Heavy Liquid,400.0,322.0
24,,3 MHutchinson,27085.0,,,2012.0,EU037 - Boiler 5,,Gas 1,,,,,,1.0,100.0,3500.0,Gas 1,350.0,322.0
25,,3 MKnoxville,19125.0,,,2012.0,EPN 007-030 Boiler 1,,Light Liquid,,,,,,1.0,72.0,5524.0,Light Liquid,350.0,322.0
26,,3 MKnoxville,19125.0,,,2012.0,EPN 007-031 Boiler 2,,Light Liquid,,,,,,1.0,72.0,4340.0,Light Liquid,350.0,322.0
27,,3 MKnoxville,19125.0,,,2012.0,Pump House Boiler,,Gas 1,,,,,,1.0,5.0,8400.0,Gas 1,350.0,322.0
28,,3 MMenomonie,55033.0,,,2012.0,P01 Kewaunee steam boiler,,Light Liquid,,,,,,1.0,21.0,4200.0,Light Liquid,350.0,326.0
29,,3 MMenomonie,55033.0,,,2012.0,P02 Kewaunee HW boiler,,Light Liquid,,,,,,1.0,13.3,360.0,Light Liquid,350.0,326.0
30,,3 MMenomonie,55033.0,,,2012.0,P03 Cleaver Brooks HW boiler,,Light Liquid,,,,,,1.0,17.0,3755.0,Light Liquid,350.0,326.0
31,,3 MMenomonie,55033.0,,,2012.0,P04 ABCO east  boiler,,Light Liquid,,,,,,1.0,10.5,5800.0,Light Liquid,350.0,326.0
32,,3 MMenomonie,55033.0,,,2012.0,P05 ABCO west  boiler,,Light Liquid,,,,,,1.0,10.5,6000.0,Light Liquid,350.0,326.0
33,,3 MPrairiedu Chien,55043.0,,,2012.0,B21 (Boiler 2),,Gas 1,,,,,,1.0,12.6,3500.0,Gas 1,350.0,327.0
34,,3 MPrairiedu Chien,55043.0,,,2012.0,B22 (Boiler 3),,Gas 1,,,,,,1.0,16.7,1500.0,Gas 1,350.0,327.0
35,,3 MPrairiedu Chien,55043.0,,,2012.0,B23 (Boiler 4),,Gas 1,,,,,,1.0,22.1,5000.0,Gas 1,350.0,327.0
36,,3 MWausau Downtown,55073.0,,,2012.0,B20,,Gas 1,,,,,,1.0,10.8,4600.0,Gas 1,350.0,327.0
37,,3 VGeorgetown,45043.0,,,2012.0,01SB101,,Gas 1,,,,,,1.0,20.0,8400.0,Gas 1,350.0,325.0
38,,3 VGeorgetown,45043.0,,,2012.0,01SB102,,Heavy Liquid,,,,,,1.0,33.5,8400.0,Heavy Liquid,400.0,325.0
39,1006665.0,3M CORDOVA,17161.0,ROCK ISLAND,325998.0,2017.0,GP- #2 FO for Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),0.0,gallons,0,0,1.0,75.0,,,,
40,1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,326199.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),117.8579321,gallons,16.38225256,0.00187012,1.0,34.5,,,,
41,1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,322222.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),117.8579321,gallons,16.38225256,0.00187012,1.0,34.5,,,,
42,,A AR Mfg,26113.0,,,2012.0,AAR Cleaver Brooks,,Gas 1,,,,,,1.0,10.0,8400.0,Gas 1,350.0,332.0
43,,A AR Mfg,26113.0,,,2012.0,AAR Sellers,,Gas 1,,,,,,1.0,20.921999999999997,8640.0,Gas 1,350.0,332.0
44,,A CH Food,17137.0,,,2012.0,BOILER NO. 1,,Heavy Liquid,,,,,,1.0,100.0,500.0,Heavy Liquid,400.0,311.0
45,,A CH Food,17137.0,,,2012.0,BOILER NO. 3,,Gas 1,,,,,,1.0,100.0,8760.0,Gas 1,350.0,311.0
